,0
0,Florida
1,New York
2,Maine
3,Montana
4,Vermont
5,Indiana
6,North Dakota
7,Mississippi
8,South Dakota
9,Virginia
10,Texas
11,West Virginia
12,Colorado
13,Wisconsin
14,Georgia
15,Delaware
16,Nebraska
17,Arizona
18,Hawaii
19,Pennsylvania
20,Washington
21,Maryland
22,Idaho
23,Alaska
24,Missouri
25,Nevada
26,New Hampshire
27,North Carolina
28,Massachusetts
29,Arkansas
30,Oklahoma
31,Illinois
32,Oregon
33,South Carolina
34,Tennessee
35,Utah
36,Connecticut
37,Kentucky
38,New Jersey
39,Wyoming
40,Iowa
41,Michigan
42,Louisiana
43,Minnesota
44,Alabama
45,Rhode Island
46,New Mexico
47,California
48,Kansas
